gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
pont,chr3R:6087844-6089621,warm,cold,OK,29.4335,26.0732,-0.174891,-0.775811,0.1265,0.244039,no
CG43143,chr3R:6090027-6137375,warm,cold,OK,17.1304,19.3002,0.172054,0.475941,0.2809,0.445371,no
CG12818,chr3R:6157302-6158417,warm,cold,OK,5.82837,3.89995,-0.579638,-1.5066,0.00595,0.0187494,yes
"CG12592,CG18545,sle",chr3R:6158836-6167390,warm,cold,OK,31.0597,38.8945,0.324519,0.784934,0.07185,0.154947,no
CG31406,chr3R:6174482-6175732,warm,cold,OK,38.0545,45.1241,0.245833,0.861691,0.03765,0.0902684,no
jumu,chr3R:6175903-6187334,warm,cold,OK,4.0224,4.18722,0.0579372,0.193812,0.67485,0.805811,no
cwo,chr3R:6213619-6226478,warm,cold,OK,22.0432,19.5447,-0.173555,-0.590061,0.17865,0.316588,no
mthl11,chr3R:6226753-6233007,warm,cold,NOTEST,0.258694,0.251553,-0.0403839,0,1,1,no
mir-994,chr3R:6233858-6233949,warm,cold,NOTEST,0,0,0,0,1,1,no
mir-318,chr3R:6234023-6234091,warm,cold,NOTEST,0,0,0,0,1,1,no
Rrp46,chr3R:6239022-6241768,warm,cold,OK,3.15973,1.93999,-0.703756,-0.935256,0.11155,0.221228,no
Cyp12e1,chr3R:6260510-6262426,warm,cold,OK,12.5388,15.0925,0.267432,1.05056,0.0411,0.0972771,no
CR44018,chr3R:6333282-6471495,warm,cold,NOTEST,0.297513,0.0562175,-2.40386,0,1,1,no
CG34304,chr3R:6482167-6487177,warm,cold,NOTEST,0.0266116,0.0299918,0.172515,0,1,1,no
CR44230,chr3R:6508353-6510146,warm,cold,OK,1.47613,1.83556,0.3144,0.554962,0.3114,0.479451,no
Skeletor,chr3R:6512664-6521992,warm,cold,OK,3.37826,6.25852,0.889542,2.25112,5.00E-05,0.000245228,yes
"CG14683,CG14684,pug",chr3R:6522239-6534062,warm,cold,OK,98.3149,204.744,1.05834,3.46138,5.00E-05,0.000245228,yes
CG4073,chr3R:6540519-6541623,warm,cold,OK,36.3879,33.9866,-0.0984937,-0.468059,0.4123,0.585181,no
Cap-H2,chr3R:6586906-6593640,warm,cold,OK,8.85792,9.15486,0.0475701,0.13111,0.7679,0.869987,no
Desi,chr3R:6605290-6606547,warm,cold,OK,2.17792,2.14405,-0.0226099,-0.0458445,0.92255,0.959913,no
Rbp1,chr3R:6610094-6614080,warm,cold,OK,19.2023,15.6339,-0.296608,-0.781893,0.1385,0.261764,no
Mcm5,chr3R:6614249-6616872,warm,cold,NOTEST,0.989051,1.13891,0.203532,0,1,1,no
CG14687,chr3R:6618627-6619370,warm,cold,OK,145.15,38.1173,-1.92902,-9.71637,5.00E-05,0.000245228,yes
CG4089,chr3R:6641009-6643214,warm,cold,OK,4.39718,3.55702,-0.305908,-0.903257,0.0711,0.153695,no
Cad86C,chr3R:6652800-6674857,warm,cold,OK,3.31058,4.06938,0.297724,1.04449,0.01975,0.0530075,no
CG42394,chr3R:6675544-6677748,warm,cold,OK,46.3476,106.755,1.20373,4.03242,5.00E-05,0.000245228,yes
"CG4511,CG4565",chr3R:6678337-6682209,warm,cold,OK,57.5946,100.249,0.799586,3.05818,5.00E-05,0.000245228,yes
CG4570,chr3R:6682528-6698199,warm,cold,NOTEST,0.37151,0.451917,0.282654,0,1,1,no
Tsp86D,chr3R:6682528-6698199,warm,cold,OK,5.92487,8.58487,0.535014,0.602993,0.2338,0.389557,no
CG4596,chr3R:6698759-6701304,warm,cold,OK,1.86986,1.69853,-0.138641,-0.324606,0.5008,0.667809,no
Sodh-2,chr3R:6702105-6705056,warm,cold,OK,10.4163,4.00807,-1.37786,-3.29076,5.00E-05,0.000245228,yes
CG4674,chr3R:6711268-6722140,warm,cold,OK,2.63739,5.18207,0.974417,1.10539,0.02725,0.069597,no
Tengl4,chr3R:6776005-6777519,warm,cold,OK,57.6501,65.6852,0.188245,0.916575,0.07715,0.164249,no
CG34114,chr3R:6819204-6875525,warm,cold,OK,3.27943,5.16154,0.654354,2.15011,5.00E-05,0.000245228,yes
CG43449,chr3R:6914141-6915078,warm,cold,OK,25.4179,32.1611,0.339471,1.45616,0.0089,0.0265317,yes
CG4706,chr3R:6962898-6965466,warm,cold,OK,68.2864,70.0833,0.0374719,0.178629,0.7214,0.838494,no
Ugt86Dc,chr3R:6980347-6982235,warm,cold,OK,13.4964,7.74221,-0.801762,-2.87554,5.00E-05,0.000245228,yes
Ugt86Da,chr3R:6982819-6985466,warm,cold,OK,33.228,54.5685,0.715668,3.36154,5.00E-05,0.000245228,yes
CG4757,chr3R:6986928-6989220,warm,cold,OK,9.34338,18.4794,0.983904,3.27714,5.00E-05,0.000245228,yes
Ugt86Dh,chr3R:7001250-7003632,warm,cold,OK,11.1732,6.4539,-0.791797,-2.48475,5.00E-05,0.000245228,yes
CG18577,chr3R:7021813-7023006,warm,cold,OK,7.23643,2.65473,-1.44671,-3.43583,5.00E-05,0.000245228,yes
"Tctp,cu",chr3R:7023146-7037100,warm,cold,OK,599.574,466.273,-0.362762,-1.23247,0.0078,0.0236825,yes
CG4820,chr3R:7042256-7045786,warm,cold,OK,3.21984,1.98771,-0.695881,-0.941177,0.08745,0.181886,no
RpL3,chr3R:7047615-7050895,warm,cold,OK,616.886,545.502,-0.177418,-0.794365,0.136,0.258195,no
snoRNA:Me18S-C1096,chr3R:7047615-7050895,warm,cold,NOTEST,0,53.7707,inf,0,1,1,no
snoRNA:Psi28S-291,chr3R:7047615-7050895,warm,cold,OK,5.64492,5.44483,-0.0520651,-0.0049578,0.5983,0.749155,no
snoRNA:Me28S-G2017,chr3R:7047615-7050895,warm,cold,OK,26.4412,18.4478,-0.51934,-0.0205319,0.5383,0.699891,no
"CG17726,scpr-C",chr3R:7051171-7061799,warm,cold,OK,271.681,152.122,-0.836685,-3.83669,5.00E-05,0.000245228,yes
CG14701,chr3R:7051171-7061799,warm,cold,OK,8.57682,7.59598,-0.175205,-0.141315,0.8405,0.913621,no
CG17721,chr3R:7051171-7061799,warm,cold,OK,10.928,10.8115,-0.0154686,-0.0100735,0.9833,0.990051,no
CG31441,chr3R:7062007-7063346,warm,cold,OK,3.74709,3.04964,-0.297131,-0.728947,0.1713,0.307338,no
CG31388,chr3R:7063536-7066713,warm,cold,OK,5.03255,2.80152,-0.845078,-1.0112,0.02685,0.0687835,no
"CG5214,scpr-A",chr3R:7066903-7072736,warm,cold,OK,485.197,375.475,-0.369855,-1.51108,0.00355,0.0120336,yes
pros,chr3R:7154201-7233358,warm,cold,OK,4.74434,4.89374,0.0447304,0.157171,0.715,0.834367,no
mRpL40,chr3R:7233604-7235661,warm,cold,OK,14.2398,14.5885,0.0349026,0.0882196,0.8879,0.940579,no
"Irbp,Ranbp9",chr3R:7235768-7244781,warm,cold,OK,24.0784,27.3244,0.182447,0.615117,0.2007,0.345863,no
snoRNA:Irbp-a,chr3R:7235768-7244781,warm,cold,NOTEST,0,1.85596,inf,0,1,1,no
CG5270,chr3R:7247813-7255691,warm,cold,OK,6.7376,8.80986,0.386885,1.61996,0.0005,0.00207223,yes
CG18643,chr3R:7255782-7291360,warm,cold,OK,4.76979,1.4957,-1.6731,-0.320175,0.50265,0.669445,no
CG5276,chr3R:7255782-7291360,warm,cold,OK,55.6784,53.9174,-0.0463671,-0.0880408,0.84665,0.91621,no
CG5281,chr3R:7255782-7291360,warm,cold,OK,3.86705,0.663129,-2.54387,-0.717289,0.1651,0.299353,no
CG17230,chr3R:7255782-7291360,warm,cold,OK,47.9416,42.0552,-0.188996,-0.345087,0.4315,0.603375,no
dpr5,chr3R:7325705-7331677,warm,cold,OK,1.5326,1.26508,-0.276758,-0.483762,0.2772,0.44128,no
CG14708,chr3R:7379866-7380591,warm,cold,OK,22.7591,21.6403,-0.0727232,-0.301671,0.6254,0.770264,no
CG10898,chr3R:7383042-7392771,warm,cold,OK,6.51036,9.42312,0.533467,0.463071,0.3521,0.524357,no
"CG5342,Mrp4",chr3R:7394958-7407198,warm,cold,OK,16.0156,21.3981,0.418005,0.97581,0.0412,0.0974748,no
wkd,chr3R:7407297-7415868,warm,cold,OK,30.6145,25.1357,-0.284477,-0.984511,0.0459,0.106799,no
CG14710,chr3R:7445811-7452360,warm,cold,OK,3.03526,2.83505,-0.0984458,-0.150228,0.7677,0.869844,no
CG14711,chr3R:7445811-7452360,warm,cold,OK,9.02124,6.7199,-0.424885,-0.971352,0.06785,0.147859,no
CG18764,chr3R:7452610-7454174,warm,cold,OK,2.61996,2.68917,0.0376159,0.0867834,0.8683,0.9299,no
CG14712,chr3R:7454480-7458928,warm,cold,OK,26.2401,24.4681,-0.100872,-0.443175,0.3348,0.505988,no
CR44137,chr3R:7458999-7476428,warm,cold,OK,1.05712,1.7799,0.751652,0.323224,0.49815,0.665852,no
Elp1,chr3R:7476692-7481413,warm,cold,OK,6.08537,6.44522,0.0828847,0.296074,0.51,0.675656,no
CG42327,chr3R:7481874-7499697,warm,cold,OK,13.4324,14.2339,0.0836193,0.355136,0.42885,0.601234,no
CG14715,chr3R:7499934-7503838,warm,cold,OK,20.8861,21.1893,0.0207912,0.0633055,0.92565,0.961102,no
Ho,chr3R:7504065-7510064,warm,cold,OK,47.5659,80.8031,0.764484,2.08892,0.0007,0.00281524,yes
CG14717,chr3R:7522230-7524049,warm,cold,OK,35.4422,32.5691,-0.121963,-0.557994,0.2716,0.434354,no
CG14718,chr3R:7526335-7528442,warm,cold,OK,196.767,188.239,-0.0639247,-0.299123,0.5496,0.710441,no
I-t,chr3R:7529751-7530638,warm,cold,OK,63.2399,65.5704,0.0522099,0.257288,0.6439,0.78374,no
CG14720,chr3R:7537439-7538093,warm,cold,NOTEST,0.175753,0.0472132,-1.89628,0,1,1,no
CG12594,chr3R:7547455-7558201,warm,cold,OK,2.42209,2.24384,-0.110287,-0.29259,0.50935,0.675381,no
CG14721,chr3R:7561168-7567505,warm,cold,OK,60.0738,58.3108,-0.0429737,-0.128433,0.7837,0.879126,no
CG14722,chr3R:7567552-7575751,warm,cold,OK,15.2159,19.2632,0.340269,0.790071,0.10575,0.212471,no
CG43062,chr3R:7576047-7590301,warm,cold,OK,2.00288,0,#NAME?,#NAME?,0.18735,0.327973,no
HisCl1,chr3R:7612897-7622670,warm,cold,OK,4.0242,1.06062,-1.9238,-1.48362,0.00555,0.0177061,yes
CoVa,chr3R:7640836-7648218,warm,cold,OK,632.451,813.093,0.362468,1.78123,0.0077,0.0234029,yes
sad,chr3R:7702956-7708257,warm,cold,NOTEST,0.304428,0.254968,-0.255785,0,1,1,no
CG31368,chr3R:7708515-7774851,warm,cold,OK,4.34491,4.3949,0.0165032,0.0253372,0.95535,0.975403,no
CG34307,chr3R:7708515-7774851,warm,cold,OK,14.3354,12.857,-0.157027,-0.200505,0.7522,0.859294,no
CG14731,chr3R:7708515-7774851,warm,cold,OK,5.14614,5.90197,0.197706,0.219113,0.63495,0.777068,no
CG31211,chr3R:7775401-7779767,warm,cold,OK,27.9532,21.9422,-0.349306,-1.41788,0.00105,0.00407988,yes
"Hsp70Aa,Hsp70Ab",chr3R:7784255-7788527,warm,cold,OK,0,1.17309,inf,#NAME?,0.0019,0.00689107,yes
"CG12201,CG18347,aur",chr3R:7788614-7800632,warm,cold,OK,112.517,102.945,-0.128267,-0.450427,0.4125,0.585394,no
Ect3,chr3R:7819896-7831155,warm,cold,OK,11.3716,10.531,-0.110785,-0.323628,0.48405,0.652607,no
CG3532,chr3R:7833197-7842753,warm,cold,OK,11.4728,16.8646,0.555784,1.73933,5.00E-05,0.000245228,yes
Spt3,chr3R:7842877-7844272,warm,cold,OK,2.90516,2.14325,-0.43882,-1.01471,0.0555,0.125336,no
ssp5,chr3R:7858863-7861247,warm,cold,OK,175.399,166.9,-0.0716527,-0.325648,0.5,0.667043,no
CG14736,chr3R:7866227-7869175,warm,cold,OK,19.1843,21.5134,0.165312,0.63614,0.1527,0.282327,no
dpr17,chr3R:7920599-7937145,warm,cold,OK,87.5899,85.8024,-0.029747,-0.126044,0.7702,0.87134,no
CG43450,chr3R:8021015-8021296,warm,cold,OK,55.9772,55.8355,-0.00365642,-0.0276325,0.9877,0.992233,no
CG3809,chr3R:8023662-8025195,warm,cold,OK,109.108,108.547,-0.00744196,-0.0380475,0.9447,0.97065,no
CG14742,chr3R:8039513-8047190,warm,cold,OK,7.96124,13.97,0.811267,1.09371,0.1109,0.220309,no
CG10014,chr3R:8048108-8050741,warm,cold,OK,42.7929,37.8396,-0.177476,-0.820381,0.1154,0.22768,no
CR43477,chr3R:8051003-8052061,warm,cold,OK,1.84097,3.82885,1.05645,0.847669,0.10435,0.21023,no
CG3916,chr3R:8055134-8056147,warm,cold,NOTEST,0.0234735,0.031095,0.405649,0,1,1,no
CR44036,chr3R:8065398-8066249,warm,cold,OK,2.70013,3.1596,0.226713,0.486751,0.39725,0.569703,no
CG3942,chr3R:8079908-8082314,warm,cold,OK,39.1054,37.2882,-0.0686513,-0.322557,0.5166,0.681649,no
"CG44037,svp",chr3R:8084458-8128507,warm,cold,OK,15.7812,16.246,0.0418749,0.0358848,0.9333,0.964386,no
CG44038,chr3R:8084458-8128507,warm,cold,OK,8.12392,2.68684,-1.59627,-0.503701,0.6812,0.810017,no
CR44039,chr3R:8084458-8128507,warm,cold,OK,2.1517,0.216507,-3.313,-0.488928,0.43305,0.60447,no
CG17738,chr3R:8084458-8128507,warm,cold,OK,10.7612,17.127,0.670436,0.291552,0.6979,0.821363,no
Sfp87B,chr3R:8084458-8128507,warm,cold,OK,4901.12,1601.07,-1.61408,-11.8939,5.00E-05,0.000245228,yes
CG4066,chr3R:8137074-8138841,warm,cold,NOTEST,0.123071,0.100895,-0.286635,0,1,1,no
CG10013,chr3R:8149242-8150932,warm,cold,OK,4.0758,3.96163,-0.0409903,-0.116241,0.8223,0.902385,no
CG4115,chr3R:8185732-8188975,warm,cold,OK,33.4973,174.994,2.38519,0.46252,0.1931,0.336148,no
GstD2,chr3R:8197692-8198426,warm,cold,OK,11.3574,252.676,4.47559,18.9738,5.00E-05,0.000245228,yes
GstD3,chr3R:8198789-8199535,warm,cold,OK,38.0892,60.188,0.660092,3.28649,5.00E-05,0.000245228,yes
GstD4,chr3R:8199823-8200546,warm,cold,OK,1.04336,5.43273,2.38044,4.17135,5.00E-05,0.000245228,yes
GstD5,chr3R:8201485-8202136,warm,cold,OK,15.7015,37.6955,1.26349,5.27016,5.00E-05,0.000245228,yes
GstD6,chr3R:8202893-8203629,warm,cold,OK,0.176769,3.00992,4.08979,3.28314,0.221,0.372536,no
GstD7,chr3R:8204260-8204977,warm,cold,OK,4.87715,6.58777,0.433751,1.17355,0.06105,0.135718,no
GstD8,chr3R:8205744-8206537,warm,cold,OK,4.36564,1.59487,-1.45275,-2.93325,0.00015,0.000684556,yes
GstD11,chr3R:8209057-8211346,warm,cold,OK,4.60042,4.54297,-0.0181304,-0.0354938,0.93735,0.966496,no
"CG33098,CG34402",chr3R:8211970-8228626,warm,cold,OK,14.5107,35.021,1.2711,0.814311,0.1452,0.272164,no
CG5167,chr3R:8232253-8233823,warm,cold,OK,52.2085,18.0277,-1.53407,-6.79151,5.00E-05,0.000245228,yes
CG5196,chr3R:8233957-8248151,warm,cold,OK,13.3705,10.2728,-0.380215,-0.753093,0.13655,0.259072,no
pps,chr3R:8233957-8248151,warm,cold,OK,8.44068,7.20208,-0.228945,-0.580738,0.20265,0.34836,no
CG17202,chr3R:8248312-8251646,warm,cold,OK,9.85626,4.3585,-1.17721,-0.941875,0.0954,0.195565,no
Sas,chr3R:8252299-8255002,warm,cold,NOTEST,0.838968,0.447086,-0.908063,0,1,1,no
"CG5245,Pros25",chr3R:8255306-8259626,warm,cold,OK,147.038,175.465,0.254992,1.35891,0.02095,0.0557346,no
CG5844,chr3R:8259823-8261365,warm,cold,OK,22.5134,17.5286,-0.361075,-1.47625,0.00465,0.0152294,yes
desat2,chr3R:8261969-8265021,warm,cold,NOTEST,0.724318,0.563421,-0.362409,0,1,1,no
"CG5538,desat1",chr3R:8265321-8274772,warm,cold,OK,1668.04,858.879,-0.957625,-3.13588,5.00E-05,0.000245228,yes
CG18549,chr3R:8275017-8282084,warm,cold,OK,28.917,33.2247,0.200338,0.838239,0.1,0.203267,no
CG5509,chr3R:8275017-8282084,warm,cold,OK,23.8394,26.1079,0.131135,0.223581,0.61605,0.763424,no
trus,chr3R:8282255-8286016,warm,cold,OK,6.82859,6.68841,-0.029925,-0.0732915,0.8831,0.937723,no
CG12267,chr3R:8286135-8291020,warm,cold,OK,2.94393,3.88938,0.401798,0.684617,0.1602,0.292668,no
Hsp70Bbb,chr3R:8328231-8330822,warm,cold,NOTEST,0.0255025,0.398081,3.96435,0,1,1,no
Hsp70Bbb,chr3R:8331514-8334105,warm,cold,OK,0.298479,12.905,5.43416,8.59057,5.00E-05,0.000245228,yes
Hsp70Bc,chr3R:8334797-8337183,warm,cold,OK,0.0693146,6.29159,6.50412,4.20313,0.0066,0.0204541,yes
hug,chr3R:8337291-8373951,warm,cold,OK,4.97304,2.25776,-1.13924,-1.31263,0.00855,0.025624,yes
Snx3,chr3R:8453762-8455783,warm,cold,OK,64.3907,71.9492,0.160126,0.782601,0.1299,0.248933,no
CG18616,chr3R:8456363-8458747,warm,cold,OK,6.15308,5.9881,-0.0392114,-0.130187,0.7995,0.888667,no
CG18530,chr3R:8459080-8460374,warm,cold,OK,4.76472,5.74613,0.270199,0.775565,0.15815,0.289909,no
CG11598,chr3R:8460638-8462005,warm,cold,OK,51.4541,21.6393,-1.24963,-5.54926,5.00E-05,0.000245228,yes
CG11600,chr3R:8462274-8463602,warm,cold,OK,2.087,3.51263,0.75112,1.70741,0.00345,0.0117282,yes
CG11608,chr3R:8464202-8465669,warm,cold,OK,22.9101,6.5281,-1.81125,-6.45371,5.00E-05,0.000245228,yes
CG6234,chr3R:8473779-8478632,warm,cold,OK,1.28724,5.07427,1.97892,4.93663,5.00E-05,0.000245228,yes
CG6225,chr3R:8480298-8486582,warm,cold,OK,16.2099,12.7361,-0.347951,-1.3329,0.00305,0.0104708,yes
CG14395,chr3R:8488552-8499681,warm,cold,NOTEST,1.0571,0.753323,-0.488773,0,1,1,no
CG6188,chr3R:8500329-8501982,warm,cold,OK,166.098,13.1464,-3.65929,-10.3893,5.00E-05,0.000245228,yes
Arp1,chr3R:8515574-8520596,warm,cold,OK,40.104,53.2612,0.409337,1.20784,0.0189,0.0509925,no
"NijC,Past1",chr3R:8520850-8530600,warm,cold,OK,81.2434,85.7274,0.0775057,0.283476,0.5347,0.696589,no
CG12279,chr3R:8530663-8538021,warm,cold,OK,19.8518,12.7305,-0.640983,-0.843468,0.06375,0.140583,no
CR44231,chr3R:8553480-8554181,warm,cold,NOTEST,0,0.148313,inf,0,1,1,no
CG5724,chr3R:8565363-8567139,warm,cold,OK,29.3956,9.10059,-1.69157,-6.70786,5.00E-05,0.000245228,yes
CR44232,chr3R:8571757-8608914,warm,cold,OK,0.876575,1.10375,0.332464,0.120443,0.7089,0.830046,no
d-cup,chr3R:8717632-8718880,warm,cold,OK,12.8163,13.5942,0.0850067,0.2096,0.64365,0.783597,no
beat-Vb,chr3R:8741777-8760535,warm,cold,OK,3.22842,2.70352,-0.255987,-0.483361,0.27965,0.443865,no
Spc25,chr3R:8775758-8803193,warm,cold,OK,1.24607,1.53478,0.300642,0.106276,0.8593,0.925032,no
Cyp304a1,chr3R:8775758-8803193,warm,cold,NOTEST,0.914111,1.25197,0.453758,0,1,1,no
CG7091,chr3R:8803721-8806257,warm,cold,OK,4.75923,3.33423,-0.513374,-1.53945,0.00365,0.0123301,yes
Paip2,chr3R:8806392-8811351,warm,cold,OK,168.358,169.135,0.00664233,0.0257488,0.9533,0.974572,no
CG31342,chr3R:8811701-8820931,warm,cold,OK,12.1096,13.5375,0.160809,0.444804,0.35,0.522093,no
CG7488,chr3R:8821341-8823478,warm,cold,OK,15.6325,10.4782,-0.577163,-1.57171,0.00185,0.00673452,yes
"CG11656,CG7518",chr3R:8823724-8837159,warm,cold,OK,48.1471,45.7005,-0.0752389,-0.199391,0.6532,0.790258,no
CtBP,chr3R:8837345-8856438,warm,cold,OK,34.6334,43.1055,0.315707,0.782585,0.0851,0.177812,no
l(3)87Df,chr3R:8856634-8857320,warm,cold,OK,24.1422,17.8271,-0.43748,-1.83145,0.0104,0.0303451,yes
ry,chr3R:8858249-8863742,warm,cold,OK,9.55685,7.21289,-0.405959,-1.64342,0.00115,0.00441905,yes
CG11668,chr3R:8864096-8870123,warm,cold,OK,3.14192,4.13096,0.39483,0.982904,0.06795,0.148022,no
CG11670,chr3R:8864096-8870123,warm,cold,NOTEST,0.388651,0.18051,-1.1064,0,1,1,no
"CG31157,Hsc70-2",chr3R:8870419-8877237,warm,cold,OK,182.797,187.384,0.0357567,0.14704,0.772,0.872375,no
pic,chr3R:8877966-8882447,warm,cold,OK,13.9083,14.6997,0.0798429,0.345152,0.47285,0.642424,no
sim,chr3R:8883476-8903848,warm,cold,OK,1.19615,0.611369,-0.968281,-1.67756,0.0002,0.0008941,yes
CG43063,chr3R:8911945-8912483,warm,cold,OK,42.2269,22.9388,-0.880373,-4.12867,5.00E-05,0.000245228,yes
"CG34308,timeout",chr3R:8914372-8989598,warm,cold,OK,35.916,31.6127,-0.18412,-0.524183,0.3707,0.543228,no
CG8138,chr3R:9007025-9007876,warm,cold,OK,63.6019,67.3873,0.0834075,0.42634,0.4632,0.633683,no
CG14380,chr3R:9014286-9015290,warm,cold,OK,19.3007,18.2978,-0.0769786,-0.318176,0.60835,0.756756,no
CG8141,chr3R:9017422-9018231,warm,cold,OK,22.1722,20.4493,-0.116698,-0.487664,0.4432,0.614718,no
CG11686,chr3R:9086077-9087949,warm,cold,OK,68.4625,84.9952,0.312067,1.02532,0.02425,0.062969,no
Su(var)3-7,chr3R:9090085-9097790,warm,cold,OK,6.99921,9.47869,0.437496,1.3387,0.00255,0.00894657,yes
CG8630,chr3R:9105442-9110249,warm,cold,OK,40.655,196.884,2.27584,10.6557,5.00E-05,0.000245228,yes
Osi22,chr3R:9116350-9117568,warm,cold,NOTEST,0.117438,0.0177981,-2.7221,0,1,1,no
CG8773,chr3R:9120469-9124010,warm,cold,OK,33.811,6.83289,-2.30692,-9.30099,5.00E-05,0.000245228,yes
CG8774,chr3R:9124489-9128056,warm,cold,OK,24.464,15.8753,-0.623878,-2.55014,5.00E-05,0.000245228,yes
CG32473,chr3R:9128369-9138507,warm,cold,OK,68.0535,56.0209,-0.280704,-1.23409,0.00625,0.0195488,yes
CG43208,chr3R:9128369-9138507,warm,cold,NOTEST,2.22459,0.733933,-1.59982,0,1,1,no
CG8784,chr3R:9164051-9170828,warm,cold,NOTEST,0.41366,0.610685,0.561983,0,1,1,no
mthl12,chr3R:9179394-9181135,warm,cold,NOTEST,0.0329427,0.0170816,-0.947519,0,1,1,no
Dic1,chr3R:9187537-9194813,warm,cold,OK,89.7232,74.641,-0.265513,-0.89174,0.0504,0.115429,no
CheA87a,chr3R:9195369-9197626,warm,cold,OK,35.5268,10.1846,-1.80251,-3.68101,5.00E-05,0.000245228,yes
CG34309,chr3R:9198351-9211287,warm,cold,OK,1.17581,2.4875,1.08104,0.203468,0.78035,0.877615,no
"CG8870,Droj2",chr3R:9198351-9211287,warm,cold,OK,239.811,388.867,0.69738,2.39992,5.00E-05,0.000245228,yes
CR44138,chr3R:9198351-9211287,warm,cold,OK,6.61379,10.4241,0.656378,0.266825,0.7547,0.860839,no
CG14377,chr3R:9223556-9227584,warm,cold,NOTEST,0.0342429,0.27414,3.00104,0,1,1,no
Ir87a,chr3R:9246000-9248862,warm,cold,NOTEST,0.241197,0.15727,-0.616973,0,1,1,no
Act87E,chr3R:9251706-9253811,warm,cold,OK,263.192,405.094,0.622141,2.63217,5.00E-05,0.000245228,yes
CG14372,chr3R:9276206-9291828,warm,cold,OK,5.84294,7.73742,0.405158,1.39796,0.0022,0.00787284,yes
CR43848,chr3R:9400546-9401201,warm,cold,OK,1.58912,1.65815,0.0613429,0.0958289,0.8756,0.933778,no
CG14370,chr3R:9413718-9414447,warm,cold,OK,14.7603,16.7536,0.182747,0.69936,0.2689,0.43132,no
CG9269,chr3R:9441638-9442214,warm,cold,NOTEST,0,0.154395,inf,0,1,1,no
CG10841,chr3R:9457570-9472055,warm,cold,OK,110.424,109.568,-0.0112205,-0.0303641,0.95245,0.973956,no
rin,chr3R:9472549-9482248,warm,cold,OK,45.9572,45.2824,-0.0213408,-0.0728422,0.8661,0.928523,no
B52,chr3R:9487021-9500272,warm,cold,OK,36.752,23.4038,-0.651079,-2.15123,5.00E-05,0.000245228,yes
lkb1,chr3R:9500813-9519645,warm,cold,OK,28.7798,23.1892,-0.311602,-0.550768,0.24245,0.400049,no
flfl,chr3R:9500813-9519645,warm,cold,OK,23.2035,44.2719,0.932048,2.68328,5.00E-05,0.000245228,yes
CG14367,chr3R:9519774-9531421,warm,cold,OK,3.1687,1.48421,-1.09419,-0.464194,0.36105,0.533385,no
ninaB,chr3R:9519774-9531421,warm,cold,OK,11.1029,1.57263,-2.81968,-1.42968,0.0161,0.0444527,yes
Adgf-C,chr3R:9532478-9537588,warm,cold,OK,7.32359,15.4108,1.07332,1.97182,0.0006,0.00244552,yes
CG34383,chr3R:9540928-9590453,warm,cold,OK,9.32367,14.0562,0.592233,1.47139,0.00185,0.00673452,yes
CG9312,chr3R:9591477-9592825,warm,cold,OK,25.5189,23.184,-0.138436,-0.589742,0.33135,0.502123,no
Cht5,chr3R:9593270-9596454,warm,cold,OK,1.96688,49.6257,4.65711,13.8208,5.00E-05,0.000245228,yes
CG9297,chr3R:9597216-9605043,warm,cold,OK,308.806,467.538,0.598384,1.99974,5.00E-05,0.000245228,yes
CG9288,chr3R:9605345-9606517,warm,cold,OK,45.3061,44.6768,-0.0201809,-0.0941617,0.8561,0.923107,no
CG9286,chr3R:9606685-9607804,warm,cold,OK,13.1323,6.46025,-1.02345,-3.30072,5.00E-05,0.000245228,yes
Dip-B,chr3R:9608011-9611400,warm,cold,OK,63.3611,43.8506,-0.531,-2.3347,5.00E-05,0.000245228,yes
tal-AA,chr3R:9638830-9640370,warm,cold,OK,18.9792,7.18155,-1.40205,-4.99105,5.00E-05,0.000245228,yes
CR43641,chr3R:9641000-9641500,warm,cold,NOTEST,1.25962,1.01175,-0.316137,0,1,1,no
CR43642,chr3R:9641952-9642849,warm,cold,NOTEST,0.0276437,0.0323153,0.225266,0,1,1,no
CR43300,chr3R:9653689-9654149,warm,cold,NOTEST,0.842729,0.905527,0.103688,0,1,1,no
ems,chr3R:9727580-9730344,warm,cold,NOTEST,0.663151,0.214846,-1.62603,0,1,1,no
CG31517,chr3R:9774156-9775052,warm,cold,OK,2.2785,3.03887,0.415452,0.841461,0.1447,0.271399,no
Ipp,chr3R:9784472-9786196,warm,cold,OK,25.0916,12.1655,-1.04441,-4.18526,5.00E-05,0.000245228,yes
Orc2,chr3R:9790606-9857779,warm,cold,OK,0.853818,1.32211,0.630846,0.191291,0.6994,0.822332,no
CR43460,chr3R:9790606-9857779,warm,cold,NOTEST,0.292269,0.339247,0.215039,0,1,1,no
Cyp6d5,chr3R:9790606-9857779,warm,cold,OK,273.62,169.034,-0.694857,-2.50771,5.00E-05,0.000245228,yes
CG3061,chr3R:9858068-9862120,warm,cold,OK,74.2073,64.8571,-0.194296,-0.78573,0.11115,0.220694,no
foxo,chr3R:9882666-9913859,warm,cold,OK,31.3571,39.7472,0.342061,1.43827,0.0009,0.003546,yes
Npc2b,chr3R:9915238-9918147,warm,cold,OK,103.063,79.3975,-0.376362,-1.51146,0.00035,0.00149512,yes
