# submitted_item	validated_id	current_symbol
x	FBgn0020337	anon-65Ba
CG34026	FBgn0054026	CG34026
CG9686	FBgn0030158	CG9686
Cht6	FBgn0263132	Cht6
CG2909	FBgn0030189	CG2909
CG2111	FBgn0030223	CG2111
CG15209	FBgn0030237	CG15209
v	FBgn0003965	v
v	FBab0022016	C(1;Y)11
v	FBal0017656	v[1]
v	FBal0017703	v[unspecified]
v	FBti0201836	P{U6:3-tRNA[His]-gRNA[y,cv,v,f,car]}attP40
v	FBtp0131516	P{U6:3-tRNA[His]-gRNA[y,cv,v,f,car]}
CG2145	FBgn0030251	CG2145
CG16922,Myo10A	unknown ID	-
CG11160	FBgn0030257	SmydA-4
CG15203	FBgn0030261	CG15203
CG42249	FBgn0259101	CG42249
CG15201,CG15202	unknown ID	-
Pa1	FBgn0287454	Pa1
Gs2	FBgn0001145	Gs2
CG11695	FBgn0030316	CG11695
nod	FBgn0002948	nod
nod	FBgn0019967	Khc::nod
CG15221	FBgn0030331	CG15221
Cyp28c1	FBgn0030339	Cyp28c1
CG15739	FBgn0030347	CG15739
CG1806	FBgn0030360	CG1806
regucalcin	FBgn0030362	regucalcin
Lsp1alpha	FBgn0002562	Lsp1alpha
CG2556	FBgn0030396	CG2556
CG4004	FBgn0030418	CG4004
MFS10	FBgn0030452	MFS10
CG15745	FBgn0283680	IP3K2
CG32633	FBgn0052633	CG32633
CG11162	FBgn0030509	CG11162
Yp3	FBgn0004047	Yp3
CG11103	FBgn0030522	CG11103
CG1368	FBgn0030539	CG1368
dob	FBgn0030607	dob
CG5599	FBgn0030612	Dbct
CG11655	FBgn0030638	CG11655
CG43673	FBgn0263748	CG43673
sd	FBgn0003345	sd
sd	FBgn0003489	sprd
Mfe2	FBgn0030731	Mfe2
Dsp1	FBgn0278608	Dsp1
CG4653	FBgn0030776	CG4653
RhoGAP15B	FBgn0030808	RhoGAP15B
CG16700	FBgn0030816	CG16700
CG32564	FBgn0052564	CG32564
CG18258	FBgn0265267	CG18258
CG5162	FBgn0030828	CG5162
par-6	FBgn0026192	par-6
OdsH	FBgn0026058	OdsH
CG6788	FBgn0030880	CG6788
CG6106	FBgn0030914	CG6106
CG42450	FBgn0259927	CG42450
CG7378	FBgn0030976	CG7378
Diedel3	FBgn0085358	Diedel3
Mur18B	FBgn0030999	Mur18B
CG14205	FBgn0031034	CG14205
CG14207,Shawn,Tyler	unknown ID	-
Pmp70	FBgn0031069	Abcd3
obst-A	FBgn0031097	obst-A
Peritrophin-A	FBgn0022770	Peritrophin-A
Obp19b	FBgn0031110	Obp19b
Obp19d,cactin	unknown ID	-
Npc1b	FBgn0261675	Npc1b
Ntf-2	FBgn0031145	Ntf-2
Mgstl	FBgn0025814	Mgstl
CG32523	FBgn0052523	CG32523
CG17707	FBgn0025835	CG17707
Dredd	FBgn0020381	Dredd
CG13360	FBgn0025620	CG13360
CG3713	FBgn0040343	CG3713
CG3706	FBgn0040342	CG3706
CG3699	FBgn0040349	CG3699
CG3690	FBgn0040350	CG3690
CG11409	FBgn0024366	CG11409
Pex5	FBgn0023516	Pex5
Cyp4d1	FBgn0005670	Cyp4d1
Cyp4d14	FBgn0023541	Cyp4d14
CG2650	FBgn0000092	dyw
CR34335	FBgn0267910	lncRNA:CR34335
roX1	FBgn0046321	roX1-CES
roX1	FBgn0019661	lncRNA:roX1
NAAT1	FBgn0029762	NAAT1
CG3239	FBgn0029769	frma
CG33080	FBgn0053080	CG33080
CG4666	FBgn0029838	CG4666
CG32750	FBgn0052750	CG32750
CG32751	FBgn0052751	CG32751
vanin-like	FBgn0040069	vanin-like
Rpt4	FBgn0028685	Rpt4
CG14440	FBgn0029894	CG14440
CG32726	FBgn0052726	CG32726
CG10778	FBgn0029980	Dhdds
CG2254	FBgn0029994	Ldsdh1
sni	FBgn0030026	sni
PIP82	FBgn0024943	PIP82
CG12112	FBgn0030048	CG12112
spirit	FBgn0030051	spirit
CG10970,CG7267	unknown ID	-
CG43386	FBgn0263216	CG43386
Yp2	FBgn0005391	Yp2
CG12643	FBgn0040942	CG12643
CG32687	FBgn0052687	CG32687
CG9806	FBgn0030222	CG9806
Ant2,sesB	unknown ID	-
CG32669	FBgn0052669	CG32669
Ork1	FBgn0017561	Ork1
pot	FBgn0250871	pot
Sclp	FBgn0030357	Sclp
fw	FBgn0001083	fw
CG1492	FBgn0030361	CG1492
Cyp311a1	FBgn0030367	Cyp311a1
CG12717,ade5	unknown ID	-
CG34324	FBgn0085353	CG34324
up	FBgn0004169	up
up	FBal0017627	up[1]
CG9400	FBgn0030562	CG9400
NetA	FBgn0015773	NetA
NetA	FBab0014495	Ts(1Lt;YSt)B118+Ts(1Rt;YLt)T9
NetA	FBab0026716	Df(1)NP5
NetA	FBab0045922	Df(1)NetAB[Delta]
Ag5r2	FBgn0020508	Ag5r2
Ag5r	FBgn0015010	Ag5r
CG14408	FBgn0030581	CG14408
CG9509	FBgn0030594	fiz
CG9095	FBgn0030617	CG9095
CG9114	FBgn0030628	CG9114
CG15642	FBgn0030642	CG15642
CG8952	FBgn0030688	CG8952
sun	FBgn0014391	sun
sun	FBgn0033132	Tsp42Ej
sun	FBgn0004164	fs(2)sun
AlkB	FBgn0065035	AlkB
disco	FBgn0000459	disco
CG9903	FBgn0030756	CG9903
CG9782	FBgn0030763	CG9782
CG13012	FBgn0030769	CG13012
CG9676,spheroide	unknown ID	-
CG9673	FBgn0030775	CG9673
wus	FBgn0030805	wus
CG13001	FBgn0030806	CG13001
CG8661	FBgn0030837	CG8661
CR43491	FBgn0263502	lncRNA:CR43491
mnb	FBgn0259168	mnb
wupA	FBgn0283471	wupA
CG33639	FBgn0053639	CG33639
Ggt-1	FBgn0030932	Ggt-1
Cyp18a1	FBgn0010383	Cyp18a1
CG34330	FBgn0085359	CG34330
tgy	FBgn0030984	tgy
pncr004:X	FBgn0047095	CG33939
CG14195	FBgn0030998	CG14195
CG7992	FBgn0031004	CG7992
l(1)G0156	FBgn0027291	Idh3a
l(1)G0156	FBal0098184	Idh3a[G0156]
CG14219	FBgn0031033	CG14219
et	FBgn0031055	et
et	FBgn0260936	scny
Hers	FBgn0052529	Hers
Hers	FBgn0052529	Hers
CG12655	FBgn0031080	CG12655
RhoGAP19D	FBgn0031118	RhoGAP19D
CG1304	FBgn0031141	CG1304
CG1532	FBgn0031143	CG1532
CG32521	FBgn0052521	CG32521
lcs	FBgn0028583	lcs
CG1678	FBgn0031176	whe
Cyp6t1	FBgn0031182	Cyp6t1
CG14615	FBgn0031184	CG14615
Cda4	FBgn0052499	Cda4
CG40485	FBgn0069973	CG40485
CR40677	FBgn0085765	2SrRNA-Psi:CR40677
